id,category,brand,model,title,description,price,discount,stock,rating,review_count,color,warranty,features,tags
95,کتاب,انتشارات ققنوس,تاریخ ویژه,انتشارات ققنوس تاریخ ویژه - متنوع,پیشنهاد ویژه: انتشارات ققنوس تاریخ ویژه. تصویرسازی رنگی | ۳۵۰ صفحه | قطع وزیری. ارسال سریع.,160000,0,30,3.4,3352,متنوع,بدون گارانتی,تصویرسازی رنگی | ۳۵۰ صفحه | قطع وزیری | نمایه جامع,آموزش، کتاب، مطالعه، ادبیات
96,کنسول بازی,مایکروسافت,PlayStation 5 Ultra,مایکروسافت PlayStation 5 Ultra - سفید,محصول مایکروسافت مدل PlayStation 5 Ultra با ویژگی‌های عمق سه‌بعدی صدا | پشتیبانی از VR | کنترلر DualSense. بهترین انتخاب در دسته کنسول بازی.,34845000,0,100,4.5,728,سفید,بدون گارانتی,عمق سه‌بعدی صدا | پشتیبانی از VR | کنترلر DualSense | نرخ فریم ۱۲۰fps,Xbox، گیمینگ، PlayStation، Nintendo
97,لوازم حیوانات,هیلز,بستر حیوان Lite,هیلز بستر حیوان Lite - متنوع,پیشنهاد ویژه: هیلز بستر حیوان Lite. بدون گلوتن | ویتامین‌های ضروری | طبیعی ۱۰۰%. ارسال سریع.,1335000,25,150,4.4,1085,متنوع,۶ ماه گارانتی,بدون گلوتن | ویتامین‌های ضروری | طبیعی ۱۰۰% | برای همه نژادها,سگ، سلامت، غذا، گربه
98,ماشین لباسشویی,بوش,AWM-714E SE,بوش AWM-714E SE - سفید,بوش AWM-714E SE - ظرفیت ۹ کیلوگرم | موتور اینورتر | تشخیص بار. مناسب برای کاربران ماشین لباسشویی.,23745000,0,100,2.6,1481,سفید,۳۶ ماه گارانتی,ظرفیت ۹ کیلوگرم | موتور اینورتر | تشخیص بار | شستشوی سریع ۱۵ دقیقه,لوازم خانگی، تمام اتوماتیک، اینورتر، ماشین لباسشویی
99,مانیتور,سامسونگ,ProArt PA279CV Max,سامسونگ ProArt PA279CV Max - نقره‌ای,سامسونگ ProArt PA279CV Max - پنل IPS | پوشش رنگی sRGB 99% | نرخ تازه‌سازی ۱۴۴Hz. مناسب برای کاربران مانیتور.,25415000,5,100,2.8,1846,نقره‌ای,۱۸ ماه گارانتی,پنل IPS | پوشش رنگی sRGB 99% | نرخ تازه‌سازی ۱۴۴Hz | زمان پاسخ ۱ms,صفحه‌نمایش، مانیتور، اداری، 4K
100,مودم,دی‌لینک,Archer AX73 Lite,دی‌لینک Archer AX73 Lite - سفید,Archer AX73 Lite از برند معتبر دی‌لینک. پردازنده ۱.۸ گیگاهرتز | MU-MIMO | Wi-Fi 6 AX5400. کیفیت تضمینی.,3015000,15,200,3.6,2242,سفید,۳۶ ماه گارانتی,پردازنده ۱.۸ گیگاهرتز | MU-MIMO | Wi-Fi 6 AX5400 | ۸ آنتن خارجی,روتر، اینترنت، مودم، شبکه
101,اسباب‌بازی,دوتو,Hot Wheels (2024),دوتو Hot Wheels (2024) - آبی,Hot Wheels (2024) از برند معتبر دوتو. قابل شستشو | بی‌خطر بدون BPA | مقاوم. کیفیت تضمینی.,4030000,0,20,4.3,1603,آبی,بدون گارانتی,قابل شستشو | بی‌خطر بدون BPA | مقاوم | صدا و نور,آموزشی، خلاقیت، اسباب‌بازی، لگو
102,کنسول بازی,مایکروسافت,Xbox Series X ویژه,مایکروسافت Xbox Series X ویژه - مشکی,مایکروسافت Xbox Series X ویژه - حافظه SSD سریع | عمق سه‌بعدی صدا | رزولوشن 4K. مناسب برای کاربران کنسول بازی.,30675000,20,200,2.5,2222,مشکی,۱۲ ماه گارانتی,حافظه SSD سریع | عمق سه‌بعدی صدا | رزولوشن 4K | ریمسترهای نسل نهم,Xbox، PlayStation، Nintendo، گیمینگ
103,هدفون,بیتس,QuietComfort 45 SE,بیتس QuietComfort 45 SE - آبی,QuietComfort 45 SE از برند معتبر بیتس. پد گوش راحت | فرکانس پاسخ ۲۰-۲۰۰۰۰ هرتز | تاشو. کیفیت تضمینی.,10985000,10,5,3.9,876,آبی,۱۸ ماه گارانتی,پد گوش راحت | فرکانس پاسخ ۲۰-۲۰۰۰۰ هرتز | تاشو | حذف نویز فعال ANC,استودیو، ANC، موزیک، هدفون
104,تجهیزات کمپینگ,نورث فیس,چادر ۴ نفره Ultra,نورث فیس چادر ۴ نفره Ultra - آبی,پیشنهاد ویژه: نورث فیس چادر ۴ نفره Ultra. مقاوم در برابر باد ۶۰ کیلومتر | وزن ۲.۵ کیلو | پوشش UV. ارسال سریع.,17590000,30,30,3.6,1920,آبی,بدون گارانتی,مقاوم در برابر باد ۶۰ کیلومتر | وزن ۲.۵ کیلو | پوشش UV | ضدآب ۳۰۰۰mm,ماجراجویی، طبیعت‌گردی، کوهنوردی، ورزش
105,هدفون,سنهایزر,WH-1000XM5 Plus,سنهایزر WH-1000XM5 Plus - قرمز,پیشنهاد ویژه: سنهایزر WH-1000XM5 Plus. صدای Hi-Fi | تاشو | حذف نویز فعال ANC. ارسال سریع.,12650000,25,200,2.8,2068,قرمز,۱۸ ماه گارانتی,صدای Hi-Fi | تاشو | حذف نویز فعال ANC | اتصال بلوتوث ۵.۳,بی‌سیم، هدفون، بازی، موزیک
106,تلویزیون,ایکس‌ویژن,55XYZ Plus,ایکس‌ویژن 55XYZ Plus - مشکی,محصول ایکس‌ویژن مدل 55XYZ Plus با ویژگی‌های کیفیت 4K OLED | Wi-Fi داخلی | HDR10+. بهترین انتخاب در دسته تلویزیون.,141255000,10,150,3.8,3373,مشکی,۳۶ ماه گارانتی,کیفیت 4K OLED | Wi-Fi داخلی | HDR10+ | پورت HDMI 2.1,4K، TV، سینمای خانگی، تلویزیون
107,یخچال,ال‌جی,GNE6021 Max,ال‌جی GNE6021 Max - سفید,پیشنهاد ویژه: ال‌جی GNE6021 Max. نمایشگر دیجیتال | قفسه‌های قابل تنظیم | جداسازی رطوبت. ارسال سریع.,26875000,10,5,3.1,1313,سفید,۱۸ ماه گارانتی,نمایشگر دیجیتال | قفسه‌های قابل تنظیم | جداسازی رطوبت | ظرفیت ۶۰۰ لیتر,یخچال، No Frost، لوازم خانگی، بزرگ
108,مودم,میکروتیک,Archer AX73 ویژه,میکروتیک Archer AX73 ویژه - مشکی,میکروتیک Archer AX73 ویژه - MU-MIMO | QoS پیشرفته | VPN داخلی. مناسب برای کاربران مودم.,8205000,25,15,5.0,424,مشکی,۳۶ ماه گارانتی,MU-MIMO | QoS پیشرفته | VPN داخلی | ۸ آنتن خارجی,خانه هوشمند، روتر، Wi-Fi، مودم
109,دوچرخه,اسپشیالایزد,M600 ویژه,اسپشیالایزد M600 ویژه - نارنجی,اسپشیالایزد M600 ویژه - ارتفاع قابل تنظیم | چرخ ۲۷.۵ اینچ | وزن ۱۴ کیلو. مناسب برای کاربران دوچرخه.,15330000,20,10,2.5,824,نارنجی,۳۶ ماه گارانتی,ارتفاع قابل تنظیم | چرخ ۲۷.۵ اینچ | وزن ۱۴ کیلو | فریم آلومینیوم,کوهستان، MTB، شهری، دوچرخه
110,اسپیکر,هارمن کاردن,Stanmore III Max,هارمن کاردن Stanmore III Max - قرمز,پیشنهاد ویژه: هارمن کاردن Stanmore III Max. صدای ۳۶۰ درجه | اتصال چندگانه | باتری ۲۴ ساعته. ارسال سریع.,5005000,0,5,4.2,1668,قرمز,۲۴ ماه گارانتی,صدای ۳۶۰ درجه | اتصال چندگانه | باتری ۲۴ ساعته | بیس قوی,سفر، بلندگو، اسپیکر، پارتی
111,تجهیزات کمپینگ,کایالاس,کوله ۶۰ لیتری Lite,کایالاس کوله ۶۰ لیتری Lite - خاکی,محصول کایالاس مدل کوله ۶۰ لیتری Lite با ویژگی‌های استرپ کمپرسیون | تنفس‌پذیر GoreTex | ضدآب ۳۰۰۰mm. بهترین انتخاب در دسته تجهیزات کمپینگ.,16365000,20,200,4.2,3494,خاکی,۶ ماه گارانتی,استرپ کمپرسیون | تنفس‌پذیر GoreTex | ضدآب ۳۰۰۰mm | ستون آلومینیومی,ورزش، طبیعت‌گردی، ماجراجویی، کوهنوردی
112,ساعت هوشمند,شیائومی,GTR 4 (2024),شیائومی GTR 4 (2024) - آبی,پیشنهاد ویژه: شیائومی GTR 4 (2024). تشخیص فعالیت ورزشی | نمایشگر AMOLED | مانیتور خواب. ارسال سریع.,7895000,30,150,4.4,564,آبی,۱۲ ماه گارانتی,تشخیص فعالیت ورزشی | نمایشگر AMOLED | مانیتور خواب | GPS داخلی,سلامت، فیتنس، ورزشی، اسمارت‌واچ
113,کیبورد,لاجیتک,K95 RGB SE,لاجیتک K95 RGB SE - سفید,K95 RGB SE از برند معتبر لاجیتک. فرم فاکتور تک‌لار | پروفایل قابل تنظیم | ضدآب. کیفیت تضمینی.,10270000,30,0,3.2,1477,سفید,۳۶ ماه گارانتی,فرم فاکتور تک‌لار | پروفایل قابل تنظیم | ضدآب | عمر کلید ۱۰۰ میلیون ضربه,گیمینگ، کیبورد، اداری، RGB
114,تلویزیون,ایکس‌ویژن,OLED C3 55 Lite,ایکس‌ویژن OLED C3 55 Lite - خاکستری تیره,OLED C3 55 Lite از برند معتبر ایکس‌ویژن. نرخ تازه‌سازی ۱۲۰Hz | Google TV | سیستم صدا Dolby Atmos. کیفیت تضمینی.,93380000,20,20,3.1,835,خاکستری تیره,۱۸ ماه گارانتی,نرخ تازه‌سازی ۱۲۰Hz | Google TV | سیستم صدا Dolby Atmos | اسمارت TV,OLED، تلویزیون، TV، سینمای خانگی
115,کیف,کالباندی,کوله‌پشتی (2024),کالباندی کوله‌پشتی (2024) - قهوه‌ای,محصول کالباندی مدل کوله‌پشتی (2024) با ویژگی‌های قفل TSA | چرم مصنوعی با کیفیت | فضای داخلی وسیع. بهترین انتخاب در دسته کیف.,8510000,15,5,4.5,2640,قهوه‌ای,۲۴ ماه گارانتی,قفل TSA | چرم مصنوعی با کیفیت | فضای داخلی وسیع | چرخ‌های ۳۶۰ درجه,اداری، دانشجویی، کیف، مسافرت
116,عطر,آرمانی,Aqva Plus,آرمانی Aqva Plus - آبی,آرمانی Aqva Plus - بوی تازه سیتروسی | ماندگاری ۱۲ ساعته | بوی مردانه خشبی. مناسب برای کاربران عطر.,7815000,0,50,4.7,1368,آبی,۶ ماه گارانتی,بوی تازه سیتروسی | ماندگاری ۱۲ ساعته | بوی مردانه خشبی | اسپری محافظت,عطر، مردانه، زنانه، ادکلن
117,عطر,آرمانی,Boss Bottled,آرمانی Boss Bottled - طلایی,آرمانی Boss Bottled - جعبه هدیه | ماندگاری ۱۲ ساعته | پخش مه ریز. مناسب برای کاربران عطر.,5305000,5,10,5.0,982,طلایی,۶ ماه گارانتی,جعبه هدیه | ماندگاری ۱۲ ساعته | پخش مه ریز | ساخت فرانسه,عطر، زنانه، ادکلن، مردانه
118,هندزفری,هواوی,AirPods Pro 2 SE,هواوی AirPods Pro 2 SE - بژ,هواوی AirPods Pro 2 SE - لمسی | صدای استریو | باتری ۶ ساعته. مناسب برای کاربران هندزفری.,8915000,0,150,3.8,3184,بژ,۲۴ ماه گارانتی,لمسی | صدای استریو | باتری ۶ ساعته | اتصال بلوتوث ۵.2,TWS، ایرپاد، هندزفری، مکالمه
119,لوازم آرایشی,اورفلام,سایه چشم Plus,اورفلام سایه چشم Plus - متنوع,محصول اورفلام مدل سایه چشم Plus با ویژگی‌های تست شده توسط چشم‌پزشک | فرمول ضدآب | SPF 30. بهترین انتخاب در دسته لوازم آرایشی.,1970000,10,30,3.0,2308,متنوع,۳۶ ماه گارانتی,تست شده توسط چشم‌پزشک | فرمول ضدآب | SPF 30 | پوشش کامل,آرایشی، زیبایی، بهداشتی، زنانه
120,ماشین لباسشویی,اتومات,WAV28EH0 (نسخه جدید),اتومات WAV28EH0 (نسخه جدید) - خاکستری,پیشنهاد ویژه: اتومات WAV28EH0 (نسخه جدید). ضدالرژی | دور ۱۴۰۰ rpm | شستشوی سریع ۱۵ دقیقه. ارسال سریع.,11285000,10,20,4.1,1139,خاکستری,۲۴ ماه گارانتی,ضدالرژی | دور ۱۴۰۰ rpm | شستشوی سریع ۱۵ دقیقه | ظرفیت ۹ کیلوگرم,اینورتر، ماشین لباسشویی، تمام اتوماتیک، لوازم خانگی
121,کیف,سامسونیت,کوله‌پشتی Pro,سامسونیت کوله‌پشتی Pro - مشکی,پیشنهاد ویژه: سامسونیت کوله‌پشتی Pro. سبک وزن | چرخ‌های ۳۶۰ درجه | جیب‌های متعدد. ارسال سریع.,2795000,0,0,4.2,1096,مشکی,۱۸ ماه گارانتی,سبک وزن | چرخ‌های ۳۶۰ درجه | جیب‌های متعدد | چرم مصنوعی با کیفیت,مسافرت، اداری، دانشجویی، کیف
122,هندزفری,ساندکور,Soundcore P40i Max,ساندکور Soundcore P40i Max - مشکی,Soundcore P40i Max از برند معتبر ساندکور. لمسی | حذف نویز فعال | ضدعرق IPX5. کیفیت تضمینی.,4580000,30,10,3.3,2391,مشکی,۳۶ ماه گارانتی,لمسی | حذف نویز فعال | ضدعرق IPX5 | کیس شارژ,ایرپاد، TWS، مکالمه، بی‌سیم
123,تلویزیون,ال‌جی,U7H 65 (2024),ال‌جی U7H 65 (2024) - خاکستری تیره,محصول ال‌جی مدل U7H 65 (2024) با ویژگی‌های Google TV | کیفیت 4K OLED | نرخ تازه‌سازی ۱۲۰Hz. بهترین انتخاب در دسته تلویزیون.,129310000,10,100,3.2,496,خاکستری تیره,۱۲ ماه گارانتی,Google TV | کیفیت 4K OLED | نرخ تازه‌سازی ۱۲۰Hz | سیستم صدا Dolby Atmos,TV، 4K، تلویزیون، اسمارت
124,لپ‌تاپ,لنوو,GF63 Lite,لنوو GF63 Lite - مشکی,لنوو GF63 Lite - پورت Thunderbolt 4 | پردازنده Core i7 | باتری ۱۰ ساعته. مناسب برای کاربران لپ‌تاپ.,73265000,0,100,4.2,2294,مشکی,۶ ماه گارانتی,پورت Thunderbolt 4 | پردازنده Core i7 | باتری ۱۰ ساعته | رم ۱۶ گیگ,گیمینگ، اداری، دانشجویی، سبک
125,ساعت هوشمند,گارمین,Sense 2 Lite,گارمین Sense 2 Lite - آبی,پیشنهاد ویژه: گارمین Sense 2 Lite. مقاومت در برابر آب | GPS داخلی | تشخیص فعالیت ورزشی. ارسال سریع.,10065000,0,100,4.8,2780,آبی,۶ ماه گارانتی,مقاومت در برابر آب | GPS داخلی | تشخیص فعالیت ورزشی | نمایشگر AMOLED,ورزشی، ساعت هوشمند، اسمارت‌واچ، سلامت
126,کیبورد,مایکروسافت,ROG Strix Scope Lite,مایکروسافت ROG Strix Scope Lite - قرمز,محصول مایکروسافت مدل ROG Strix Scope Lite با ویژگی‌های کلیدهای ماکرو | ضدآب | سوئیچ مکانیکی Cherry MX. بهترین انتخاب در دسته کیبورد.,11000000,15,150,3.7,1415,قرمز,۳۶ ماه گارانتی,کلیدهای ماکرو | ضدآب | سوئیچ مکانیکی Cherry MX | فرم فاکتور تک‌لار,RGB، بی‌سیم، مکانیکال، اداری
127,ماشین لباسشویی,ال‌جی,AWM-714E Pro,ال‌جی AWM-714E Pro - نقره‌ای,پیشنهاد ویژه: ال‌جی AWM-714E Pro. شستشوی سریع ۱۵ دقیقه | برنامه‌های متنوع | دور ۱۴۰۰ rpm. ارسال سریع.,45390000,30,100,2.6,1133,نقره‌ای,بدون گارانتی,شستشوی سریع ۱۵ دقیقه | برنامه‌های متنوع | دور ۱۴۰۰ rpm | تشخیص بار,لوازم خانگی، اینورتر، تمام اتوماتیک، ماشین لباسشویی
128,کیبورد,لاجیتک,K95 RGB SE,لاجیتک K95 RGB SE - سفید,K95 RGB SE از برند معتبر لاجیتک. ضدآب | پروفایل قابل تنظیم | عمر کلید ۱۰۰ میلیون ضربه. کیفیت تضمینی.,6915000,20,50,3.4,2801,سفید,۳۶ ماه گارانتی,ضدآب | پروفایل قابل تنظیم | عمر کلید ۱۰۰ میلیون ضربه | بلوتوث بی‌سیم,اداری، گیمینگ، مکانیکال، کیبورد
129,پوشاک زنانه,زارا,بلوز Max,زارا بلوز Max - آبی,بلوز Max از برند معتبر زارا. طراحی مدرن | جنس ویسکوز نرم | دارای آستر. کیفیت تضمینی.,2385000,0,20,3.3,2257,آبی,۲۴ ماه گارانتی,طراحی مدرن | جنس ویسکوز نرم | دارای آستر | سایزبندی XS تا XXL,پوشاک، تابستانه، مد، زنانه
130,قهوه‌ساز,دلونگی,BES878 ویژه,دلونگی BES878 ویژه - قرمز,BES878 ویژه از برند معتبر دلونگی. برنامه‌ریزی زمانی | آسیاب داخلی | ظرفیت مخزن ۱.۸ لیتر. کیفیت تضمینی.,14050000,10,20,3.6,551,قرمز,۱۸ ماه گارانتی,برنامه‌ریزی زمانی | آسیاب داخلی | ظرفیت مخزن ۱.۸ لیتر | فشار ۱۵ بار,خانگی، کافه، باریستا، اسپرسو
131,پرینتر,HP,MFC-J4340DW Pro,HP MFC-J4340DW Pro - مشکی,MFC-J4340DW Pro از برند معتبر HP. سرعت ۲۸ صفحه در دقیقه | چاپ دو رو خودکار | چاپ موبایل. کیفیت تضمینی.,12465000,10,100,4.5,2139,مشکی,بدون گارانتی,سرعت ۲۸ صفحه در دقیقه | چاپ دو رو خودکار | چاپ موبایل | اتصال Wi-Fi,اداری، خانگی، پرینتر، چاپ
132,تبلت,هواوی,MatePad 11 Ultra,هواوی MatePad 11 Ultra - طلایی,هواوی MatePad 11 Ultra - دوربین ۱۳ مگاپیکسل | پردازنده A16 Bionic | کیفیت نمایش 2K. مناسب برای کاربران تبلت.,54685000,5,15,3.2,337,طلایی,۱۸ ماه گارانتی,دوربین ۱۳ مگاپیکسل | پردازنده A16 Bionic | کیفیت نمایش 2K | نمایشگر ۱۲ اینچ,iPad، سرگرمی، آموزش، تبلت
133,اسباب‌بازی,فیشر پرایس,Little People Ultra,فیشر پرایس Little People Ultra - زرد,محصول فیشر پرایس مدل Little People Ultra با ویژگی‌های بی‌خطر بدون BPA | صدا و نور | آموزشی. بهترین انتخاب در دسته اسباب‌بازی.,3740000,15,5,2.6,1404,زرد,بدون گارانتی,بی‌خطر بدون BPA | صدا و نور | آموزشی | رنگ غیر سمی,کودک، لگو، خلاقیت، اسباب‌بازی
134,تجهیزات کمپینگ,میلت,کیسه خواب -۱۰ Ultra,میلت کیسه خواب -۱۰ Ultra - آبی,پیشنهاد ویژه: میلت کیسه خواب -۱۰ Ultra. استرپ کمپرسیون | ستون آلومینیومی | تنفس‌پذیر GoreTex. ارسال سریع.,2595000,0,10,4.7,540,آبی,۱۸ ماه گارانتی,استرپ کمپرسیون | ستون آلومینیومی | تنفس‌پذیر GoreTex | وزن ۲.۵ کیلو,کوهنوردی، ماجراجویی، طبیعت‌گردی، ورزش
135,ماوس,بنکیو,DeathAdder V3 ویژه,بنکیو DeathAdder V3 ویژه - سفید,بنکیو DeathAdder V3 ویژه - کلیک‌های خاموش | طراحی ارگونومیک | RGB. مناسب برای کاربران ماوس.,4450000,10,0,2.7,955,سفید,۱۲ ماه گارانتی,کلیک‌های خاموش | طراحی ارگونومیک | RGB | اتصال بی‌سیم ۲.۴GHz,بی‌سیم، اداری، گیمینگ، ماوس
136,ساعت هوشمند,گارمین,Mi Band 8 Lite,گارمین Mi Band 8 Lite - آبی,پیشنهاد ویژه: گارمین Mi Band 8 Lite. ردیابی ضربان قلب | مقاومت در برابر آب | باتری ۷ روزه. ارسال سریع.,14455000,0,100,4.9,522,آبی,۶ ماه گارانتی,ردیابی ضربان قلب | مقاومت در برابر آب | باتری ۷ روزه | تشخیص فعالیت ورزشی,اسمارت‌واچ، سلامت، ساعت هوشمند، ورزشی
137,ساعت هوشمند,گارمین,Watch GT 4 SE,گارمین Watch GT 4 SE - گلد,پیشنهاد ویژه: گارمین Watch GT 4 SE. نمایشگر AMOLED | اکسیژن خون SpO2 | مقاومت در برابر آب. ارسال سریع.,30135000,20,5,3.1,2347,گلد,۲۴ ماه گارانتی,نمایشگر AMOLED | اکسیژن خون SpO2 | مقاومت در برابر آب | GPS داخلی,اسمارت‌واچ، سلامت، فیتنس، ورزشی
138,تبلت,لنوو,iPad Pro 12.9 Plus,لنوو iPad Pro 12.9 Plus - نقره‌ای,محصول لنوو مدل iPad Pro 12.9 Plus با ویژگی‌های رم ۸ گیگ | پردازنده A16 Bionic | 4G LTE. بهترین انتخاب در دسته تبلت.,7810000,15,50,3.3,1913,نقره‌ای,بدون گارانتی,رم ۸ گیگ | پردازنده A16 Bionic | 4G LTE | پشتیبانی از قلم هوشمند,تبلت، iPad، ترسیم دیجیتال، آموزش
139,مانیتور,ایسر,Optix MAG274QRF ویژه,ایسر Optix MAG274QRF ویژه - سفید,Optix MAG274QRF ویژه از برند معتبر ایسر. پوشش رنگی sRGB 99% | پشتیبانی HDR400 | نرخ تازه‌سازی ۱۴۴Hz. کیفیت تضمینی.,16740000,0,100,5.0,1917,سفید,بدون گارانتی,پوشش رنگی sRGB 99% | پشتیبانی HDR400 | نرخ تازه‌سازی ۱۴۴Hz | زمان پاسخ ۱ms,گیمینگ، طراحی، مانیتور، اداری
140,کنسول بازی,سونی,Steam Deck OLED (2024),سونی Steam Deck OLED (2024) - مشکی,محصول سونی مدل Steam Deck OLED (2024) با ویژگی‌های رزولوشن 4K | عمق سه‌بعدی صدا | کنترلر DualSense. بهترین انتخاب در دسته کنسول بازی.,34735000,0,150,3.4,1691,مشکی,۶ ماه گارانتی,رزولوشن 4K | عمق سه‌بعدی صدا | کنترلر DualSense | حافظه SSD سریع,Xbox، بازی، گیمینگ، کنسول
141,ماوس,بنکیو,Dark Core RGB Ultra,بنکیو Dark Core RGB Ultra - سفید,Dark Core RGB Ultra از برند معتبر بنکیو. RGB | دکمه‌های قابل برنامه‌ریزی | کلیک‌های خاموش. کیفیت تضمینی.,2445000,10,150,4.7,1913,سفید,۱۲ ماه گارانتی,RGB | دکمه‌های قابل برنامه‌ریزی | کلیک‌های خاموش | باتری ۷۰ ساعته,اداری، بی‌سیم، ماوس، گیمینگ
142,سرخ‌کن,بریاس,DL-745 (2024),بریاس DL-745 (2024) - مشکی,محصول بریاس مدل DL-745 (2024) با ویژگی‌های تایمر دیجیتال | فناوری Rapid Air | کم‌مصرف ۱۴۰۰ وات. بهترین انتخاب در دسته سرخ‌کن.,5690000,0,200,4.1,1088,مشکی,۱۸ ماه گارانتی,تایمر دیجیتال | فناوری Rapid Air | کم‌مصرف ۱۴۰۰ وات | سبد قابل شستشو در ماشین,بدون روغن، آشپزخانه، سالم، سرخ‌کن
143,سرخ‌کن,فیلیپس,AF1400 Ultra,فیلیپس AF1400 Ultra - قرمز,محصول فیلیپس مدل AF1400 Ultra با ویژگی‌های حرارت سریع | دمای ۸۰-۲۰۰ درجه | فناوری Rapid Air. بهترین انتخاب در دسته سرخ‌کن.,4615000,15,200,2.5,721,قرمز,بدون گارانتی,حرارت سریع | دمای ۸۰-۲۰۰ درجه | فناوری Rapid Air | ظرفیت ۴.۵ لیتر,سالم، سرخ‌کن، بدون روغن، آشپزخانه
144,ماوس,بنکیو,DeathAdder V3 Lite,بنکیو DeathAdder V3 Lite - مشکی,پیشنهاد ویژه: بنکیو DeathAdder V3 Lite. دکمه‌های قابل برنامه‌ریزی | اسکرول سریع | باتری ۷۰ ساعته. ارسال سریع.,915000,10,50,3.6,1001,مشکی,۳۶ ماه گارانتی,دکمه‌های قابل برنامه‌ریزی | اسکرول سریع | باتری ۷۰ ساعته | کلیک‌های خاموش,گیمینگ، بی‌سیم، اداری، ماوس
145,هندزفری,انکر,Y80 Pro,انکر Y80 Pro - آبی,پیشنهاد ویژه: انکر Y80 Pro. تأخیر کم ۴۰ms | ضدعرق IPX5 | اتصال بلوتوث ۵.2. ارسال سریع.,9940000,5,30,4.0,2058,آبی,۱۸ ماه گارانتی,تأخیر کم ۴۰ms | ضدعرق IPX5 | اتصال بلوتوث ۵.2 | حذف نویز فعال,هندزفری، بی‌سیم، مکالمه، ایرپاد
146,دسته بازی,8BitDo,F710 (2024),8BitDo F710 (2024) - مشکی,محصول 8BitDo مدل F710 (2024) با ویژگی‌های لرزش هپتیک | نور RGB | باتری ۴۰ ساعته. بهترین انتخاب در دسته دسته بازی.,3005000,0,100,4.3,2294,مشکی,۲۴ ماه گارانتی,لرزش هپتیک | نور RGB | باتری ۴۰ ساعته | اتصال بی‌سیم,PS5، بی‌سیم، کنترلر، گیمینگ
147,لپ‌تاپ,دل,VivoBook 15,دل VivoBook 15 - مشکی,پیشنهاد ویژه: دل VivoBook 15. پورت Thunderbolt 4 | باتری ۱۰ ساعته | پردازنده Core i7. ارسال سریع.,96525000,30,15,4.3,1577,مشکی,بدون گارانتی,پورت Thunderbolt 4 | باتری ۱۰ ساعته | پردازنده Core i7 | نمایشگر Full HD IPS,اداری، کامپیوتر، سبک، لپ‌تاپ
148,کیبورد,ریزر,ROG Strix Scope SE,ریزر ROG Strix Scope SE - سفید,ROG Strix Scope SE از برند معتبر ریزر. بلوتوث بی‌سیم | پروفایل قابل تنظیم | سوئیچ مکانیکی Cherry MX. کیفیت تضمینی.,8270000,25,50,3.8,3377,سفید,۱۸ ماه گارانتی,بلوتوث بی‌سیم | پروفایل قابل تنظیم | سوئیچ مکانیکی Cherry MX | عمر کلید ۱۰۰ میلیون ضربه,گیمینگ، بی‌سیم، مکانیکال، کیبورد
149,مانیتور,بنکیو,UltraSharp U2722D ویژه,بنکیو UltraSharp U2722D ویژه - سفید,بنکیو UltraSharp U2722D ویژه - رزولوشن 4K UHD | پشتیبانی HDR400 | ارتفاع قابل تنظیم. مناسب برای کاربران مانیتور.,47045000,30,20,4.1,3146,سفید,۶ ماه گارانتی,رزولوشن 4K UHD | پشتیبانی HDR400 | ارتفاع قابل تنظیم | پنل IPS,طراحی، اداری، مانیتور، صفحه‌نمایش
150,پوشاک زنانه,اچ‌اند‌ام,شلوار کتان ویژه,اچ‌اند‌ام شلوار کتان ویژه - صورتی,شلوار کتان ویژه از برند معتبر اچ‌اند‌ام. دارای آستر | طراحی مدرن | سایزبندی XS تا XXL. کیفیت تضمینی.,4050000,20,0,2.7,467,صورتی,۲۴ ماه گارانتی,دارای آستر | طراحی مدرن | سایزبندی XS تا XXL | قابل شستشو,کژوال، تابستانه، زنانه، رسمی
151,پرینتر,Brother,LaserJet Pro M428fdw Max,Brother LaserJet Pro M428fdw Max - مشکی,محصول Brother مدل LaserJet Pro M428fdw Max با ویژگی‌های اسکنر تخت | کارتریج با ظرفیت بالا | سرعت ۲۸ صفحه در دقیقه. بهترین انتخاب در دسته پرینتر.,17365000,0,10,3.3,1625,مشکی,۲۴ ماه گارانتی,اسکنر تخت | کارتریج با ظرفیت بالا | سرعت ۲۸ صفحه در دقیقه | چاپ موبایل,لیزر، خانگی، اداری، چاپ
152,چای‌ساز,اسنوا,EKS-3655 Max,اسنوا EKS-3655 Max - سفید,محصول اسنوا مدل EKS-3655 Max با ویژگی‌های بدنه استیل | دمای قابل تنظیم | ظرفیت ۲ لیتر. بهترین انتخاب در دسته چای‌ساز.,3795000,5,50,3.2,1477,سفید,۱۸ ماه گارانتی,بدنه استیل | دمای قابل تنظیم | ظرفیت ۲ لیتر | صفحه لمسی,آشپزخانه، کتری برقی، خانگی، چای‌ساز
153,لپ‌تاپ,ایسوس,GF63,ایسوس GF63 - سفید,GF63 از برند معتبر ایسوس. نمایشگر Full HD IPS | SSD 512 گیگ | پورت Thunderbolt 4. کیفیت تضمینی.,95640000,10,5,4.3,1235,سفید,۶ ماه گارانتی,نمایشگر Full HD IPS | SSD 512 گیگ | پورت Thunderbolt 4 | پردازنده Core i7,گیمینگ، سبک، اداری، قدرتمند
